operator,status,is_operational,latitude,longitude,num_points,connector_types,max_power_kw,borough,borough_density_km2,uk_avg_util_pct,uk_avg_energy_kWh,priority_score,stations_per_borough,operational_flag,usage_Private - Restricted Access,usage_Privately Owned - Notice Required,usage_Public,usage_Public - Membership Required,usage_Public - Pay At Location,avg_power_per_connector,has_fast_charger,cluster
Pod Point (Uk),Operational,True,51.513535,-0.135519,4.0,Type 2 (Socket Only),7.0,Westminster,9318.948648648648,50.21666666666667,36.88102564102565,0.1355465766775647,476,1,False,False,False,False,False,7.0,0,1
Independent Operator,Operational,True,51.51422,-0.12136,1.0,0,4.8,Westminster,9318.948648648648,50.21666666666667,36.88102564102565,0.1292199906596465,476,1,False,False,True,False,False,4.8,0,1
Shell Recharge Solutions (Uk),Operational,True,51.514955000000526,-0.1320930000022144,1.0,Type 2 (Socket Only),5.0,Westminster,9318.948648648648,50.21666666666667,36.88102564102565,0.1294215358393576,476,1,False,False,False,False,True,5.0,0,1
Shell Recharge Solutions (Uk),Not Operational,False,51.514418,-0.134767,1.0,Type 2 (Socket Only),5.0,Westminster,9318.948648648648,50.21666666666667,36.88102564102565,0.1294215358393576,476,0,False,False,False,False,True,5.0,0,1
Bp Pulse (Uk),Operational,True,51.515133,-0.132938,2.0,Type 2 (Socket Only),7.0,Westminster,13608.4,50.21666666666667,36.88102564102565,0.212790440221561,476,1,False,False,False,True,False,7.0,0,2
Independent Operator,Operational,True,51.513645,-0.137168,1.0,0,4.8,Westminster,13608.4,50.21666666666667,36.88102564102565,0.2092035802310401,476,1,False,False,True,False,False,4.8,0,2
Shell Recharge Solutions (Uk),Operational,True,51.515559717462054,-0.1318936824986849,1.0,Type 2 (Socket Only),4.0,Outer London,9318.948648648648,50.21666666666667,36.88102564102565,0.128413809940802,7950,1,False,False,True,False,False,4.0,0,0
Bp Pulse (Uk),Operational,True,51.510632,-0.14051870000003,4.0,BS1363 3 Pin 13 Amp; Type 2 (Socket Only),7.0,Westminster,13608.4,50.21666666666667,36.88102564102565,0.2155301662489583,476,1,False,False,False,True,False,7.0,0,2
Charge Your Car,Operational,True,51.50463,-0.11455,1.0,Type 2 (Socket Only),7.0,Outer London,9318.948648648648,50.21666666666667,36.88102564102565,0.1314369876364688,7950,1,False,False,False,True,False,7.0,0,1
Bp Pulse (Uk),Operational,True,51.514198,-0.136689,2.0,BS1363 3 Pin 13 Amp; Type 2 (Socket Only); CHAdeMO; CCS (Type 2); Type 2 (Tethered Connector),50.0,Westminster,13608.4,50.21666666666667,36.88102564102565,0.2561226538594515,476,1,False,False,False,True,False,50.0,1,2
Zero Carbon World,Operational,True,51.5014098,-0.117240600000059,2.0,BS1363 3 Pin 13 Amp; Type 2 (Socket Only),7.0,Westminster,13608.4,50.21666666666667,36.88102564102565,0.212790440221561,476,1,False,False,False,False,False,7.0,0,2
Shell Recharge Solutions (Uk),Not Operational,False,51.516,-0.13187,1.0,Type 2 (Socket Only),5.0,Westminster,9318.948648648648,50.21666666666667,36.88102564102565,0.1294215358393576,476,0,False,False,False,False,True,5.0,0,1
Bp Pulse (Uk),Not Operational,False,51.516312,-0.129476,1.0,Type 2 (Socket Only); Type 2 (Socket Only),22.0,Camden,9318.948648648648,50.21666666666667,36.88102564102565,0.1465528761148027,177,0,False,False,False,True,False,22.0,1,3
Shell Recharge Solutions (Uk),Not Operational,False,51.515614,-0.120802,1.0,Type 2 (Socket Only),3.7,Westminster,9318.948648648648,50.21666666666667,36.88102564102565,0.1281114921712353,476,0,False,False,True,False,False,3.7,0,1
Bp Pulse (Uk),Operational,True,51.5096839873231,-0.142478942871094,2.0,BS1363 3 Pin 13 Amp; Type 2 (Socket Only),7.0,Westminster,13608.4,50.21666666666667,36.88102564102565,0.212790440221561,476,1,False,False,False,True,False,7.0,0,2
Shell Recharge Solutions (Uk),Operational,True,51.51232110346069,-0.1143251871222901,1.0,Type 2 (Socket Only),5.0,Outer London,9318.948648648648,50.21666666666667,36.88102564102565,0.1294215358393576,7950,1,False,False,True,False,False,5.0,0,1
Bp Pulse (Uk),Not Operational,False,51.4977,-0.126443,1.0,BS1363 3 Pin 13 Amp; Type 2 (Socket Only),22.0,Westminster,13608.4,50.21666666666667,36.88102564102565,0.2265364656861963,476,0,False,False,False,True,False,22.0,1,2
Total Energies (Uk),Operational,True,51.5151901467396,-0.118159841802967,1.0,Type 2 (Socket Only); Type 1 (J1772),7.0,Westminster,13988.4,50.21666666666667,36.88102564102565,0.2185062768807482,476,1,False,False,False,True,False,7.0,0,2
Bp Pulse (Uk),Operational,True,51.4975281,-0.127408500000001,6.0,BS1363 3 Pin 13 Amp; Type 2 (Socket Only),7.0,Westminster,13608.4,50.21666666666667,36.88102564102565,0.2182698922763556,476,1,False,False,False,True,False,7.0,0,2
Independent Operator,Operational,True,51.497528,-0.127409,1.0,0,4.8,Westminster,13608.4,50.21666666666667,36.88102564102565,0.2092035802310401,476,1,False,False,True,False,False,4.8,0,2
Pod Point (Uk),Operational,True,51.5068393098305,-0.111933946609497,2.0,Type 2 (Socket Only); Type 2 (Socket Only); Type 2 (Socket Only),22.0,Lambeth,14883.6,50.21666666666667,36.88102564102565,0.2516844450758526,83,1,False,False,False,True,False,22.0,1,2
Total Energies (Uk),Operational,True,51.5116935,-0.113055249442683,5.0,Type 2 (Socket Only); Type 1 (J1772); BS1363 3 Pin 13 Amp,7.0,Westminster,13608.4,50.21666666666667,36.88102564102565,0.2169000292626569,476,1,False,False,False,True,False,7.0,0,2
Shell Recharge Solutions (Uk),Not Operational,False,51.50908,-0.143872,1.0,Type 2 (Socket Only),5.0,Westminster,9318.948648648648,50.21666666666667,36.88102564102565,0.1294215358393576,476,0,False,False,False,False,True,5.0,0,1
Shell Recharge Solutions (Uk),Not Operational,False,51.498522,-0.13584,1.0,Type 2 (Socket Only),3.7,Westminster,9318.948648648648,50.21666666666667,36.88102564102565,0.1281114921712353,476,0,False,False,False,False,True,3.7,0,1
Shell Recharge Solutions (Uk),Not Operational,False,51.517603,-0.129837,1.0,Type 2 (Socket Only),3.7,Camden,9318.948648648648,50.21666666666667,36.88102564102565,0.1281114921712353,177,0,False,False,False,False,True,3.7,0,1
Total Energies (Uk),Not Operational,False,51.511407,-0.112471,1.0,Type 1 (J1772); Type 2 (Socket Only),7.0,Westminster,13608.4,50.21666666666667,36.88102564102565,0.2114205772078624,476,0,False,False,False,True,False,7.0,0,2
Shell Recharge Solutions (Uk),Not Operational,False,51.512568,-0.142311,1.0,Type 2 (Socket Only),5.0,Westminster,9318.948648648648,50.21666666666667,36.88102564102565,0.1294215358393576,476,0,False,False,False,False,True,5.0,0,1
Shell Recharge Solutions (Uk),Not Operational,False,51.517782,-0.130023,1.0,Type 2 (Socket Only),3.7,Camden,9318.948648648648,50.21666666666667,36.88102564102565,0.1281114921712353,177,0,False,False,False,False,True,3.7,0,1
Shell Recharge Solutions (Uk),Not Operational,False,51.496896,-0.127436,1.0,Type 2 (Socket Only),3.7,Westminster,9318.948648648648,50.21666666666667,36.88102564102565,0.1281114921712353,476,0,False,False,False,False,True,3.7,0,1
Total Energies (Uk),Operational,True,51.5152860135492,-0.116643905639648,5.0,Type 2 (Socket Only); Type 1 (J1772),7.0,Westminster,13608.4,50.21666666666667,36.88102564102565,0.2169000292626569,476,1,False,False,False,True,False,7.0,0,2
Shell Recharge Solutions (Uk),Not Operational,False,51.496887,-0.127973,1.0,Type 2 (Socket Only),3.7,Westminster,9318.948648648648,50.21666666666667,36.88102564102565,0.1281114921712353,476,0,False,False,False,False,True,3.7,0,1
Shell Recharge Solutions (Uk),Not Operational,False,51.496895,-0.128714,1.0,Type 2 (Socket Only),3.7,Westminster,9318.948648648648,50.21666666666667,36.88102564102565,0.1281114921712353,476,0,False,False,False,False,True,3.7,0,1
Pod Point (Uk),Operational,True,51.515375,-0.116745,2.0,Type 2 (Socket Only),7.0,Westminster,13608.4,50.21666666666667,36.88102564102565,0.212790440221561,476,1,False,False,False,True,False,7.0,0,2
Total Energies (Uk),Not Operational,False,51.517475,-0.133047,1.0,Type 2 (Socket Only),22.0,Westminster,13988.4,50.21666666666667,36.88102564102565,0.2336221653590821,476,0,False,False,True,False,False,22.0,1,2
Shell Recharge Solutions (Uk),Not Operational,False,51.496866,-0.129591,1.0,Type 2 (Socket Only),3.7,Westminster,9318.948648648648,50.21666666666667,36.88102564102565,0.1281114921712353,476,0,False,False,False,False,True,3.7,0,1
Charge Your Car,Operational,True,51.50542,-0.11099,2.0,Type 2 (Socket Only),7.0,Lambeth,14883.6,50.21666666666667,36.88102564102565,0.2365685565975187,83,1,False,False,False,True,False,7.0,0,2
Total Energies (Uk),Operational,True,51.51798,-0.130288,2.0,Type 2 (Socket Only); Type 2 (Socket Only),22.0,Camden,9318.948648648648,50.21666666666667,36.88102564102565,0.1479227391285013,177,1,False,False,False,False,True,22.0,1,3
Bp Pulse (Uk),Operational,True,51.509495,-0.144767,2.0,BS1363 3 Pin 13 Amp; Type 2 (Socket Only); Type 2 (Socket Only),7.0,Westminster,13608.4,50.21666666666667,36.88102564102565,0.212790440221561,476,1,False,False,False,True,False,7.0,0,2
Shell Recharge Solutions (Uk),Not Operational,False,51.518054,-0.12494,1.0,Type 2 (Socket Only),3.7,Camden,9318.948648648648,50.21666666666667,36.88102564102565,0.1281114921712353,177,0,False,False,True,False,False,3.7,0,1
Bp Pulse (Uk),Operational,True,51.509472,-0.14487,1.0,Type 2 (Socket Only),7.0,Westminster,13608.4,50.21666666666667,36.88102564102565,0.2114205772078624,476,1,False,False,False,True,False,7.0,0,2
Total Energies (Uk),Operational,True,51.5181387,-0.1255737,4.0,BS1363 3 Pin 13 Amp,3.0,Camden,13988.4,50.21666666666667,36.88102564102565,0.2185849623276217,177,1,False,False,False,True,False,3.0,0,2
Pod Point (Uk),Operational,True,51.497912,-0.136349,4.0,Type 2 (Socket Only); Type 2 (Socket Only),3.0,Westminster,13608.4,50.21666666666667,36.88102564102565,0.2114992626547359,476,1,False,False,False,True,False,3.0,0,2
Pod Point (Uk),Operational,True,51.496653,-0.13111,5.0,Type 2 (Socket Only),7.0,Westminster,9318.948648648648,50.21666666666667,36.88102564102565,0.1369164396912633,476,1,False,False,False,False,False,7.0,0,1
Shell Recharge Solutions (Uk),Not Operational,False,51.518144,-0.12398,1.0,Type 2 (Socket Only),3.7,Camden,9318.948648648648,50.21666666666667,36.88102564102565,0.1281114921712353,177,0,False,False,True,False,False,3.7,0,1
